,intitule,dateCreation,typeContrat,nombrePostes,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,competences
17,Développeur(se) informatique  Full Stack C# Javascript/SQL (H/F),2025-09-23 09:43:44.965000+00:00,CDI,1,  CHALON SUR SAONE,46.780685,4.853856,71100.0,71076.0,VERTECH',"[{""code"": ""113317"", ""libelle"": ""Développer une application en lien avec une base de données"", ""exigence"": ""E""}, {""code"": ""126535"", ""libelle"": ""Réaliser des études et développements informatiques"", ""exigence"": ""E""}]"
18,DEVELOPPEUR FULL STACK INFORMATIQUE INTERNE (H/F),2025-09-22 11:03:43.438000+00:00,CDI,1,  CLERMONT FERRAND,45.813064,3.128535,63000.0,63113.0,CEGI ALFA,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
19,Développeur informatique (F/H),2025-09-18 11:21:24.187000+00:00,CDI,1,  CHAMBRY,45.59252,5.918599,73000.0,73065.0,EXPECTRA,
20,Développeur / Développeuse informatique en SIG & géotechnique (H/F),2025-09-15 16:07:33.792000+00:00,CDI,1,  GIERES,45.179993,5.791118,38610.0,38179.0,SOCIETE ALPINE DE GEOTECHNIQUE,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""400261"", ""libelle"": ""Coder"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}, {""code"": ""113317"", ""libelle"": ""Développer une application en lien avec une base de données"", ""exigence"": ""S""}, {""code"": ""485121"", ""libelle"": ""Maintenir à jour la documentation technique et les manuels d'utilisation"", ""exigence"": ""S""}, {""code"": ""126535"", ""libelle"": ""Réaliser des études et développements informatiques"", ""exigence"": ""S""}, {""code"": ""300679"", ""libelle"": ""Tester un logiciel, un système d'informations, une application"", ""exigence"": ""S""}, {""libelle"": ""Python"", ""exigence"": ""E""}, {""libelle"": ""Connaissances treansversales en SIG/Géomatique"", ""exigence"": ""S""}, {""libelle"": ""Plugins QGIS"", ""exigence"": ""E""}, {""libelle"": ""Connaissances des technologies webmapping"", ""exigence"": ""E""}, {""libelle"": ""Développement Web Backend (flask, django)"", ""exigence"": ""E""}, {""libelle"": ""Maîtrise du développement web frontend"", ""exigence"": ""E""}, {""libelle"": ""Connaissance de docker"", ""exigence"": ""E""}, {""libelle"": ""Connaissance du fonctionnement des api REST"", ""exigence"": ""E""}, {""libelle"": ""Solides compétences BDD et tech associées"", ""exigence"": ""E""}]"
21,Développeur(se) Informatique Junior (H/F),2025-09-08 16:53:23.715000+00:00,CDD,1,  LE MIROIR,46.536311,5.335504,71480.0,71300.0,UNITEX SERVICE (FRANCE),
22,Développeur / Développeuse informatique (H/F),2025-09-03 10:26:42.714000+00:00,CDI,1,  TALANGE,49.23682,6.173989,57525.0,57663.0,,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
23,Développeur informatique Full Stack C# ANGULAR (H/F),2025-08-27 15:20:57.987000+00:00,CDI,1,  CHALON SUR SAONE,46.780685,4.853856,71100.0,71076.0,VERTECH',"[{""code"": ""113317"", ""libelle"": ""Développer une application en lien avec une base de données"", ""exigence"": ""S""}, {""code"": ""126535"", ""libelle"": ""Réaliser des études et développements informatiques"", ""exigence"": ""E""}]"
24,Automaticien/Développeur Informatique Industrielle H/F (H/F),2025-08-08 15:35:49.276000+00:00,CDI,1,  NANTES,47.206267,-1.538056,44000.0,44109.0,A2TI,"[{""code"": ""104415"", ""libelle"": ""Automatisme"", ""exigence"": ""S""}]"
25,Chargé de développement informatique (H/F),2025-10-10 08:01:02.151000+00:00,CDI,1,  AURILLAC,44.929961,2.445463,15000.0,15014.0,FEDERATION  ADMR DU CANTAL,
27,"Développeur C#/Angular, Unity 3D Industriel (H/F)",2025-09-30 15:15:51.938000+00:00,CDI,1,  CHALON SUR SAONE,46.780685,4.853856,71100.0,71076.0,VERTECH',"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}, {""libelle"": ""langage C#, ANGULAR "", ""exigence"": ""E""}]"
28,Développeur Full Stack - PHP/Symfony. (H/F),2025-09-26 13:12:38.581000+00:00,CDI,1,  AIXENPROVENCE,43.582793,5.4209,13080.0,13001.0,LYNX RH,
30,Développeur .NET Senior / Chef de projet (H/F),2025-09-19 15:13:41.537000+00:00,CDI,1,  DIJON,47.318849,5.002797,21000.0,21231.0,ROSARA,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
31,TECH LEAD - DEVELOPPEUR WINDCHILL (H/F),2025-09-18 11:55:21.369000+00:00,CDI,1,  BORDEAUX,44.852155,-0.615633,33000.0,33063.0,PERCALL,"[{""code"": ""110150"", ""libelle"": ""Anglais technique"", ""exigence"": ""E""}, {""code"": ""109870"", ""libelle"": ""Java"", ""exigence"": ""E""}, {""code"": ""400199"", ""libelle"": ""Analyser les besoins informatiques"", ""exigence"": ""E""}, {""code"": ""400261"", ""libelle"": ""Coder"", ""exigence"": ""E""}, {""code"": ""484914"", ""libelle"": ""Collaborer avec les développeurs pour améliorer la qualité du logiciel"", ""exigence"": ""E""}, {""code"": ""113317"", ""libelle"": ""Développer une application en lien avec une base de données"", ""exigence"": ""E""}, {""code"": ""484402"", ""libelle"": ""Documenter les procédures techniques pour les utilisateurs"", ""exigence"": ""E""}, {""code"": ""485121"", ""libelle"": ""Maintenir à jour la documentation technique et les manuels d'utilisation"", ""exigence"": ""E""}, {""code"": ""484038"", ""libelle"": ""Promouvoir la collaboration entre les développeurs et les opérateurs pour une meilleure intégration"", ""exigence"": ""E""}, {""code"": ""126535"", ""libelle"": ""Réaliser des études et développements informatiques"", ""exigence"": ""S""}, {""code"": ""113330"", ""libelle"": ""Superviser et coordonner les réalisations, études ou développements informatiques (collaborateurs, sous-traitants)"", ""exigence"": ""E""}, {""code"": ""300679"", ""libelle"": ""Tester un logiciel, un système d'informations, une application"", ""exigence"": ""E""}, {""code"": ""121931"", ""libelle"": ""Vérifier la conformité d'une réalisation avec un cahier des charges"", ""exigence"": ""S""}]"
32,TECH LEAD - DEVELOPPEUR WINDCHILL (H/F),2025-09-18 11:54:28.026000+00:00,CDI,1,  VELIZY VILLACOUBLAY,48.797269,2.194266,78140.0,78640.0,PERCALL,"[{""code"": ""110150"", ""libelle"": ""Anglais technique"", ""exigence"": ""E""}, {""code"": ""109870"", ""libelle"": ""Java"", ""exigence"": ""E""}, {""code"": ""400199"", ""libelle"": ""Analyser les besoins informatiques"", ""exigence"": ""E""}, {""code"": ""400261"", ""libelle"": ""Coder"", ""exigence"": ""E""}, {""code"": ""484914"", ""libelle"": ""Collaborer avec les développeurs pour améliorer la qualité du logiciel"", ""exigence"": ""E""}, {""code"": ""113317"", ""libelle"": ""Développer une application en lien avec une base de données"", ""exigence"": ""E""}, {""code"": ""484402"", ""libelle"": ""Documenter les procédures techniques pour les utilisateurs"", ""exigence"": ""E""}, {""code"": ""485121"", ""libelle"": ""Maintenir à jour la documentation technique et les manuels d'utilisation"", ""exigence"": ""E""}, {""code"": ""484038"", ""libelle"": ""Promouvoir la collaboration entre les développeurs et les opérateurs pour une meilleure intégration"", ""exigence"": ""E""}, {""code"": ""126535"", ""libelle"": ""Réaliser des études et développements informatiques"", ""exigence"": ""S""}, {""code"": ""113330"", ""libelle"": ""Superviser et coordonner les réalisations, études ou développements informatiques (collaborateurs, sous-traitants)"", ""exigence"": ""E""}, {""code"": ""300679"", ""libelle"": ""Tester un logiciel, un système d'informations, une application"", ""exigence"": ""E""}, {""code"": ""121931"", ""libelle"": ""Vérifier la conformité d'une réalisation avec un cahier des charges"", ""exigence"": ""S""}]"
33,Développeur Télécom & Réseaux Confirmé (H/F),2025-09-17 14:20:20.369000+00:00,CDI,1,  LE MANS,47.986618,0.209623,72000.0,72181.0,CONCEPTION INGENIERIE INFORMATIQUE INDUS,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
34,Développeur PL/SQL (Oracle) F/H (H/F),2025-08-26 09:51:00.825000+00:00,CDI,1,  ST ANDRE LES VERGERS,48.279952,4.053344,10120.0,10333.0,TOLEDE,
35,Ingénieur R&D - Développeur JAVA - Transport Urbain Connecté (H/F),2025-08-11 18:09:18.513000+00:00,CDI,1,  CONFLANS STE HONORINE,48.993781,2.094727,78700.0,78172.0,CRISTAL SOLUTIONS,"[{""code"": ""300067"", ""libelle"": ""Analyser, exploiter, structurer des données"", ""exigence"": ""S""}, {""code"": ""400199"", ""libelle"": ""Analyser les besoins informatiques"", ""exigence"": ""S""}, {""code"": ""119245"", ""libelle"": ""Collaborer avec une équipe projet"", ""exigence"": ""S""}, {""code"": ""113312"", ""libelle"": ""Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement"", ""exigence"": ""S""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}, {""libelle"": ""Design Pattern"", ""exigence"": ""E""}, {""libelle"": ""GIT"", ""exigence"": ""S""}, {""libelle"": ""JAVA"", ""exigence"": ""E""}, {""libelle"": ""Linux"", ""exigence"": ""S""}, {""libelle"": ""Kotlin"", ""exigence"": ""S""}, {""libelle"": ""Hibernate"", ""exigence"": ""S""}, {""libelle"": ""Spring Framework"", ""exigence"": ""S""}, {""libelle"": ""ReactJS"", ""exigence"": ""S""}, {""libelle"": ""Docker"", ""exigence"": ""S""}, {""libelle"": ""Eclipse"", ""exigence"": ""S""}]"
36,Apprenti Concepteur Développeur d'Applications JavaEE (H/F),2025-08-11 17:47:01.196000+00:00,CDD,1,  MONTPELLIER,43.628032,3.816373,34000.0,34172.0,JEHANN,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
37,Apprenti Concepteur Développeur d'Applications JavaEE (H/F),2025-08-11 17:44:42.368000+00:00,CDD,1,  BORDEAUX,44.847691,-0.581278,33000.0,33063.0,JEHANN,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
38,AQUITEC / Développeur tests automatisés (H/F),2025-10-09 16:26:40.603000+00:00,LIB,1,  BORDEAUX,44.873213,-0.546046,33000.0,33063.0,STAND CELAD,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
39,Développeur QA (H/F),2025-10-08 16:21:40.884000+00:00,CDI,1,  PARIS ,48.877495,2.317589,75008.0,75108.0,DIGITRIPS,"[{""code"": ""487135"", ""libelle"": ""Analyser les logs pour identifier les tentatives d'intrusion"", ""exigence"": ""S""}, {""code"": ""300679"", ""libelle"": ""Tester un logiciel, un système d'informations, une application"", ""exigence"": ""S""}]"
41,Développeur-se Fullstack React/NestJS avec expertise IA/OCR (H/F),2025-10-08 14:13:58.668000+00:00,CDI,1,  LAXOU,48.699886,6.131759,54520.0,54304.0,,"[{""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""E""}, {""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""E""}, {""code"": ""400090"", ""libelle"": ""Assembler des composants logiciels"", ""exigence"": ""E""}, {""code"": ""400261"", ""libelle"": ""Coder"", ""exigence"": ""E""}, {""code"": ""300586"", ""libelle"": ""Concevoir et développer une solution digitale"", ""exigence"": ""E""}, {""code"": ""400759"", ""libelle"": ""Intégrer des outils IA/Data Science"", ""exigence"": ""E""}]"
43,Intervenant scolaire en informatique (IA) (H/F),2025-10-08 10:50:40.430000+00:00,CDD,1,  TOULON,43.146397,5.902319,83000.0,83137.0,FUSION JEUNESSE,"[{""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}]"
44,Chef de Projet Informatique (h/f),2025-10-06 16:33:48.069000+00:00,CDI,1,  NORROYLEVENEUR,49.180277,6.105345,57140.0,57511.0,ADECCO,
45,Ingénieur Paramétrage Paie - Logiciel Spécifique Propreté (H/F),2025-10-06 16:07:19.249000+00:00,CDI,1,  VALBONNE,43.622404,7.046216,6560.0,6152.0,ACE SOFTWARE,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}, {""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}, {""code"": ""300242"", ""libelle"": ""Déterminer des mesures correctives"", ""exigence"": ""S""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
46,Développeur RPA UIPATH (H/F),2025-10-06 11:43:45.921000+00:00,CDI,1,  PARIS E ARRONDISSEMENT,48.858831,2.379253,75011.0,75111.0,BRAIN LOGIC,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}, {""libelle"": ""rpa"", ""exigence"": ""E""}, {""libelle"": ""uipath"", ""exigence"": ""E""}]"
47,Intervenant scolaire en informatique (IA) (H/F),2025-10-03 21:25:49.162000+00:00,CDD,1,  SCHILTIGHEIM,48.605277,7.748604,67300.0,67447.0,FUSION JEUNESSE,"[{""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}]"
48,Intervenant scolaire en informatique (IA) (H/F),2025-10-03 21:20:56.491000+00:00,CDD,1,  LUNVILLE,48.584874,6.506319,54300.0,54329.0,FUSION JEUNESSE,"[{""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}]"
49,Développeur PHP/ My SQL & Power Platform (H/F),2025-10-02 16:25:51.344000+00:00,CDI,1,  EYBENS,45.147714,5.750769,38320.0,38158.0,ACAF,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
50,DÉVELOPPEUR LOGICIEL (Go) (H/F),2025-10-02 12:09:49.006000+00:00,CDI,1,  RUNGIS,48.748487,2.347405,94150.0,94065.0,EAD AEROSPACE,"[{""libelle"": ""Méthodes et organisation"", ""exigence"": ""E""}, {""libelle"": ""Validation et documentation"", ""exigence"": ""E""}, {""libelle"": "" Développement et conception"", ""exigence"": ""E""}]"
51,Business développeur technique (H/F),2025-10-02 10:59:32.743000+00:00,CDI,1,  TOULOUSE,43.620083,1.470166,31000.0,31555.0,AIKO,"[{""code"": ""300488"", ""libelle"": ""Concevoir et gérer un projet"", ""exigence"": ""S""}, {""code"": ""300664"", ""libelle"": ""Rédiger des documents d'ingénierie (rédaction des spécifications fonctionnelles et livrables techniques des solutions)"", ""exigence"": ""S""}, {""libelle"": ""Solide connaissance du secteur spatial"", ""exigence"": ""E""}, {""libelle"": ""compétences en communication et en représentation"", ""exigence"": ""E""}, {""libelle"": ""capacité d’analyse"", ""exigence"": ""E""}, {""libelle"": ""résolution de problèmes"", ""exigence"": ""E""}]"
52,Développeur Java/Angular (F/H) (H/F),2025-10-01 15:45:07.407000+00:00,CDI,1,  VALBONNE,43.622404,7.046216,6560.0,6152.0,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109870"", ""libelle"": ""Java"", ""exigence"": ""E""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
53,Développeur Senior H/F,2025-10-01 15:45:07.067000+00:00,CDI,1,  TOULON,43.122728,5.981311,83000.0,83137.0,CNMSS,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
54,Développeur Sénior Java React JS‎ (H/F),2025-09-29 17:43:43.150000+00:00,CDI,1,  ANNECY,45.905674,6.122816,74000.0,74010.0,AK RECRUTEMENT,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
55,Développeur Sénior Java/React JS (H/F),2025-09-29 17:35:31.182000+00:00,CDI,1,  LYON E ARRONDISSEMENT,45.786154,4.796312,69009.0,69389.0,AK RECRUTEMENT,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
56,Développeur C# (H/F),2025-09-29 15:41:24.144000+00:00,CDI,1,  RODEZ,44.349408,2.576095,12000.0,12202.0,LINK CONSULTING,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
57,Développeur Full Stack  (H/F),2025-09-29 13:29:42.962000+00:00,CDI,1,  NEUILLY SUR SEINE,48.884789,2.269688,92200.0,92051.0,DATAMED RESEARCH,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""E""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""E""}, {""code"": ""300586"", ""libelle"": ""Concevoir et développer une solution digitale"", ""exigence"": ""S""}, {""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}]"
58,Analyste développeur C# (H/F),2025-09-29 10:56:54.913000+00:00,CDI,1,  STRASBOURG,48.56653,7.725705,67000.0,67482.0,ITEA,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
59,Développeur / Développeuse Java Angular (H/F),2025-09-28 14:08:41.530000+00:00,CDI,1,  PARIS ,48.877495,2.317589,75008.0,75108.0,IT CONSULTING SERVICES,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""E""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""E""}]"
60,Chef de projet et développeur Microsoft 365 (H/F),2025-09-24 10:36:06.069000+00:00,CDI,1,  SURESNES,48.861535,2.210547,92150.0,92073.0,,
61,Développeur(se) backend expérimenté(e) Node.js et AWS H/F -IDF (H/F),2025-09-23 14:20:25.707000+00:00,CDI,1,  COURBEVOIE,48.898112,2.238533,92400.0,92026.0,AKTISEA,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""E""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
62,Technicien informatique (H/F),2025-09-23 09:30:57.219000+00:00,MIS,1,  DIGOIN,46.48202,3.97791,71160.0,71176.0,PROMAN,
63,Développeur(se) applicatif et Intelligence Artificielle (H/F),2025-09-22 14:47:46.396000+00:00,CDI,1,  GARDANNE,43.434243,5.466441,13120.0,13041.0,LEXFLUENT,"[{""code"": ""300067"", ""libelle"": ""Analyser, exploiter, structurer des données"", ""exigence"": ""E""}, {""code"": ""400199"", ""libelle"": ""Analyser les besoins informatiques"", ""exigence"": ""E""}, {""code"": ""119245"", ""libelle"": ""Collaborer avec une équipe projet"", ""exigence"": ""E""}, {""code"": ""113312"", ""libelle"": ""Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement"", ""exigence"": ""E""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""E""}, {""libelle"": ""Programmation informatique"", ""exigence"": ""E""}]"
64,Développeur Fullstack Java/ Angular H/F (H/F),2025-09-22 14:40:36.534000+00:00,CDI,3,  VILLEURBANNE,45.766536,4.879601,69100.0,69266.0,AMILTONE,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
65,Développeur PAIE (H/F),2025-09-18 19:55:45.012000+00:00,CDI,1,  LYON ,45.786154,4.796312,69009.0,69389.0,ALGOVIA,"[{""code"": ""478670"", ""libelle"": ""Test et validation de logiciels"", ""exigence"": ""S""}, {""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}, {""code"": ""484029"", ""libelle"": ""Gérer les versions de logiciels et leur compatibilité"", ""exigence"": ""S""}, {""libelle"": ""Aisance sur les SI"", ""exigence"": ""E""}, {""libelle"": ""Paie"", ""exigence"": ""E""}, {""libelle"": ""Outils SI RH"", ""exigence"": ""E""}, {""libelle"": ""HR Access (HR4YOU)"", ""exigence"": ""S""}]"
66,Développeur LabVIEW (H/F),2025-09-17 17:15:20.142000+00:00,CDI,1,  MULHOUSE,47.750653,7.335915,68100.0,68224.0,ITEA,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
67,Développeur C# (H/F),2025-09-17 16:45:06.396000+00:00,CDI,1,  NANCY,48.702281,6.154136,54000.0,54395.0,ITEA,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}, {""code"": ""403361"", ""libelle"": ""Surveiller les tendances du marché digital"", ""exigence"": ""S""}]"
68,Concepteur développeur .net (H/F),2025-09-17 16:41:31.577000+00:00,CDI,1,  REIMS,49.231129,4.006966,51100.0,51454.0,LE CNAM'IDS,"[{""libelle"": ""Architecture MVC"", ""exigence"": ""S""}, {""libelle"": ""CSS/Bootstrap"", ""exigence"": ""E""}, {""libelle"": ""SQL Server"", ""exigence"": ""E""}, {""libelle"": ""développement application mobile (React Native)"", ""exigence"": ""S""}, {""libelle"": ""Visual Studio, .net, C#"", ""exigence"": ""E""}, {""libelle"": ""jQuery"", ""exigence"": ""E""}]"
